user_id	min	avg	max
"RichardFox"	0	12.607634941605201671	1437.4305932289537
"XrayLady"	0	13.9952780531928233	1288.3703702937978
"ASWillhiem"	0	16.0511109210770906049	1163.5605127802296
"AS-3"	0	16.1089507669070761	967.2674722247366
"PeterLovesCrystals54"	0	16.40016958129378905	1154.843937278406
"RadCurieous"	0	16.501527710921330419	1365.4922596362467
"Bob"	0	23.288877716368963246	1073.2086174610195
"MySensor"	0	26.65279623870323304	1240.5944651092384
"HiMarkHS"	0	33.67409804232183834	1460.3701767150326
"MutantX"	0	34.8558569671673979	1146.6545989130618
"TestUnit"	0	34.9919392540764368	1673.3669
"UncleG"	0	38.1305811101119293	855.8864222065388
"GermanWrinkler43"	0	40.5546411620613803	1056.59285846261
"TaxiDriver"	0	41.7074615966729852	1401.8734690543113
"Ckimball"	0	41.7074947838309654	1257.6027626155678
"NeutronsAreFreeOfCharge"	0	41.7162979170073362	1069.6885182043516
"ProfessorSievert"	0	42.7534726445284594	1268.4356863568528
"AlwaysGlowing"	0	43.5497429981948977	1115.3002509629302
"CitizenScientist"	0	53.9730315638235103651	57345.200301353434
"HSS"	0	58.781638547044287220	2320.767020833393
"AS-1"	0	128.71595607543626748	2192.9233410367765
"AS-2"	0	259.8222184236596361	2289.7510243063953
