Title	Source	Date	url	Category	Size
Por qué Boca y River no quieren jugar las finales de la Copa Libertadores en las fechas que anunció Conmebol	Infobae.com	Thu, 01 Nov 2018 16:42:46 GMT	https://www.infobae.com/deportes-2/2018/11/01/boca-y-river-no-quieren-jugar-las-finales-de-la-copa-libertadores-en-las-fechas-que-anuncio-conmebol-hay-que-pensar-alternativas/	Deportes	4343
Dictan tres años de cárcel para Keiko Fujimori	LA NACION (Argentina)	Thu, 01 Nov 2018 05:15:18 GMT	https://www.lanacion.com.ar/2187303-dictan-tres-anos-de-carcel-para-keiko-fujimori	Internacional	1432
iPad Pro de 2018: 5 razones para no actualizarte	CNET en Español	Thu, 01 Nov 2018 13:12:00 GMT	https://www.cnet.com/es/noticias/ipad-pro-de-2018-5-razones-para-no-actualizarte/	Ciencia y Tecnología	979
Jair Bolsonaro sobre Sergio Moro: parecía “un universitario recibiendo un diploma”	Clarín.com	Thu, 01 Nov 2018 16:03:48 GMT	https://www.clarin.com/mundo/jair-bolsonaro-sergio-moro-parecia-universitario-recibiendo-diploma_0_GYxDqXorTM.html	Destacadas	295
La sugestiva respuesta de Lula a la designación de Moro como ministro de Justicia	LA NACION (Argentina)	Thu, 01 Nov 2018 16:20:37 GMT	https://www.lanacion.com.ar/2187499-la-sugestiva-respuesta-lula-designacion-moro-como	Internacional	295
El dólar arranca noviembre estable	Minutouno.com	Thu, 01 Nov 2018 13:13:57 GMT	https://www.minutouno.com/notas/3093536-el-dolar-arranca-noviembre-estable	Economía	290
Biaggio dejó de ser técnico de San Lorenzo	EL LITORAL	Thu, 01 Nov 2018 11:22:40 GMT	https://www.ellitoral.com/index.php/id_um/182684-biaggio-dejo-de-ser-tecnico-de-san-lorenzo-malos-resultados-deportes.html	Deportes	251
María Eugenia Vidal cenó con Marcelo Tinelli: la situación de la Provincia y las especulaciones para 2019	Clarín.com	Thu, 01 Nov 2018 16:49:58 GMT	https://www.clarin.com/politica/maria-eugenia-vidal-ceno-marcelo-tinelli-situacion-provincia-especulaciones-2019_0_ga3X4OpVM.html	Nacional	215
Newell's-Rosario Central, por la Copa Argentina: horario, TV y formaciones	Clarín.com	Thu, 01 Nov 2018 11:47:25 GMT	https://www.clarin.com/deportes/futbol/newell-rosario-central-copa-argentina-horario-tv-formaciones_0_Im3GPJF3H.html	Deportes	206
Otro hijo de El Potro Rodrigo: Beatriz Olave recibió un audio que lo certifica	Clarín.com	Thu, 01 Nov 2018 00:46:23 GMT	https://www.clarin.com/espectaculos/fama/hijo-potro-rodrigo-beatriz-olave-recibio-audio-certifica_0_Yxp_KQdM5.html	Entretenimiento	114
Inédita protesta en oficinas de todo el mundo de Google por casos de abusos	LA NACION (Argentina)	Thu, 01 Nov 2018 15:04:24 GMT	https://www.lanacion.com.ar/2187478-inedita-protesta-oficinas-todo-mundo-google-casos	Economía	101
Derrame en Vaca Muerta: hay 45 hectáreas afectadas y envían drones para monitorear la limpieza	Clarín.com	Wed, 31 Oct 2018 21:41:28 GMT	https://www.clarin.com/sociedad/derrame-vaca-muerta-45-hectareas-afectadas-envian-drones-monitorear-limpieza_0_ScEFgiMda.html	Nacional	96
Scaloni dio la lista con dos retornos y una sorpresa	MDZ Online	Thu, 01 Nov 2018 17:06:59 GMT	https://www.mdzol.com/deportes/Scaloni-dio-la-lista-con-dos-retornos-y-una-sorpresa-20181101-0073.html	Deportes	79
Selección argentina: Lionel Scaloni dio la lista para los amistosos con México sin jugadores de Boca y River	LA NACION (Argentina)	Thu, 01 Nov 2018 16:31:00 GMT	https://www.lanacion.com.ar/2187500-seleccion-argentina-lionel-scaloni-dio-lista-amistosos	Destacadas	79
Un chico apuntó con un arma a una periodista en una transmisión en vivo en Villa Tranquila	TN	Thu, 01 Nov 2018 17:20:28 GMT	https://tn.com.ar/policiales/un-chico-apunto-con-un-arma-una-periodista-en-una-transmision-en-vivo-en-villa-tranquila_911378	Nacional	71
Un hombre de 40 años murió mientras practicaba crossfit: tenía el apto médico vencido	Clarín.com	Thu, 01 Nov 2018 15:07:00 GMT	https://www.clarin.com/sociedad/hombre-40-anos-murio-paro-cardiaco-crossfit_0_TYTGLmF48.html	Destacadas	67
Un hombre de 40 años murió mientras practicaba crossfit: tenía el apto médico vencido	Clarín.com	Thu, 01 Nov 2018 15:07:00 GMT	https://www.clarin.com/sociedad/hombre-40-anos-murio-paro-cardiaco-crossfit_0_TYTGLmF48.html	Nacional	67
"Donald Trump dijo que tuvo una ""muy buena conversación"" con Xi Jinping sobre la guerra comercial y Corea del Norte"	Infobae.com	Thu, 01 Nov 2018 15:42:25 GMT	https://www.infobae.com/america/eeuu/2018/11/01/donald-trump-dijo-que-tuvo-una-muy-buena-conversacion-con-xi-jinping-sobre-la-guerra-comercial-y-corea-del-norte/	Internacional	59
Nafta vs dólar: quién ganó la carrera mes a mes	Clarín.com	Thu, 01 Nov 2018 16:55:05 GMT	https://www.clarin.com/economia/economia/nafta-vs-dolar-gano-carrera-mes-mes_0_xw7vWsUGL.html	Economía	56
La Bolsa de Comercio porteña cerró octubre con una fuerte caída del 12%	Infobae.com	Thu, 01 Nov 2018 13:16:36 GMT	https://www.infobae.com/economia/2018/11/01/la-bolsa-de-comercio-portena-cerro-octubre-con-una-fuerte-caida-del-12/	Economía	55
Como Trump, Bolsonaro quiere mudar la la embajada en Israel a Jerusalén	LA NACION (Argentina)	Thu, 01 Nov 2018 15:04:24 GMT	https://www.lanacion.com.ar/2187473-como-trump-bolsonaro-quiere-mudar-embajada-israel	Internacional	54
Identifican un nuevo ligamento del tobillo	Sin Mordaza	Wed, 31 Oct 2018 16:50:13 GMT	https://www.sinmordaza.com/noticia/568161-identifican-un-nuevo-ligamento-del-tobillo.html	Salud	51
